,name,type,type_id,abv,rating,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
1328,Tip Ta Tip,Gruit / Ancient Herbed Ale,78,10.0,3.89,1,3,7,0,6,4,0,9,4,5,6
1329,Suneater,Gruit / Ancient Herbed Ale,78,5.2,3.57,1,1,0,1,2,1,0,1,2,5,1
1330,Beann Gulban Irish Heather Ale,Gruit / Ancient Herbed Ale,78,7.5,3.61,8,5,3,1,3,17,0,6,3,0,3
1331,Buenos Dias,Gruit / Ancient Herbed Ale,78,4.5,3.71,15,13,1,26,11,63,26,72,25,4,23
1332,Salt Spring Heatherdale Ale,Gruit / Ancient Herbed Ale,78,5.0,3.6,4,6,1,11,15,2,3,4,36,0,11
1333,William Wallace,Gruit / Ancient Herbed Ale,78,5.5,3.87,5,7,5,0,18,1,0,8,25,2,10
1334,Mumm,Gruit / Ancient Herbed Ale,78,5.6,4.23,12,22,10,6,16,35,0,16,46,10,14
1335,Plaid To The Bone,Gruit / Ancient Herbed Ale,78,4.5,3.32,3,11,3,7,12,9,1,4,12,4,15
1336,Ancient Gruit Ale,Gruit / Ancient Herbed Ale,78,9.0,3.76,1,3,2,5,6,12,1,10,15,1,4
1337,Blessed Thistle,Gruit / Ancient Herbed Ale,78,4.5,3.61,9,23,2,33,36,9,0,10,58,18,41
1338,Wild Oats Series No. 51 - O.G. (Original Gruit),Gruit / Ancient Herbed Ale,78,6.3,3.62,2,3,2,3,7,4,0,3,21,1,8
1339,Wild Oats Series No. 61 - Tyrannosaurus Gruit,Gruit / Ancient Herbed Ale,78,5.8,3.56,2,6,2,4,12,2,0,9,25,0,6
1340,Scandinavian Spruce Ale,Gruit / Ancient Herbed Ale,78,5.6,3.09,5,4,4,4,4,8,0,2,16,4,3
1341,Heather Ale,Gruit / Ancient Herbed Ale,78,4.75,3.51,6,14,1,7,12,13,0,7,24,1,16
1342,Våronna,Gruit / Ancient Herbed Ale,78,5.5,4.36,11,6,2,9,10,27,0,22,12,4,5
1343,Imaginary Day,Gruit / Ancient Herbed Ale,78,6.0,3.94,2,1,0,1,2,5,0,5,4,4,1
1344,Artemis,Gruit / Ancient Herbed Ale,78,5.5,2.72,1,7,3,6,4,3,0,0,16,9,4
1345,Two Weeks Notice,Gruit / Ancient Herbed Ale,78,5.3,3.98,3,7,3,7,1,8,2,10,35,5,9
1346,Groot,Gruit / Ancient Herbed Ale,78,6.2,3.99,0,3,0,4,7,0,0,0,14,1,7
1347,Chaga Groove,Gruit / Ancient Herbed Ale,78,8.0,4.04,0,0,7,2,9,2,0,1,5,5,6
1348,La Clef Des Champs,Gruit / Ancient Herbed Ale,78,5.0,3.54,1,4,1,2,3,1,0,1,17,1,11
1349,Grewit Barrel-aged Old World Ale,Gruit / Ancient Herbed Ale,78,7.5,3.84,5,2,2,0,7,5,0,2,10,5,11
1350,Gothic Ale,Gruit / Ancient Herbed Ale,78,4.8,3.64,4,14,4,7,13,8,0,5,28,12,11
1351,Andromeda Heather Ale,Gruit / Ancient Herbed Ale,78,4.6,3.87,9,9,2,3,15,4,0,7,8,2,21
1352,Reggae Junkie,Gruit / Ancient Herbed Ale,78,5.2,4.11,6,8,1,1,4,15,0,5,8,4,3
1353,Garden Party,Gruit / Ancient Herbed Ale,78,4.1,3.63,0,0,0,0,0,0,0,0,0,0,0
1354,Love Potion #9,Gruit / Ancient Herbed Ale,78,8.3,3.64,0,0,0,0,0,0,0,0,0,0,0
1355,Exhilaration,Gruit / Ancient Herbed Ale,78,5.6,3.93,0,0,0,0,0,0,0,0,0,0,0
1356,BeniakaCoedo Brewery (Kyodo Shoji Koedo Brewery),Happoshu,79,7.0,3.49,10,51,7,34,129,8,0,15,45,6,85
1357,Kirin Tanrei,Happoshu,79,5.5,2.7,24,44,10,18,38,16,2,14,23,0,85
1358,Kinmugi (Rich Malt),Happoshu,79,5.0,2.95,12,16,3,15,15,12,0,9,21,5,29
1359,Clear Sakura Beer,Happoshu,79,5.0,2.85,4,13,3,6,12,5,0,5,10,0,26
1360,Asahi Honnama Red,Happoshu,79,5.5,2.85,13,16,5,11,16,1,0,0,11,0,38
1361,Kirin Tanrei Green Label,Happoshu,79,4.5,2.21,2,9,3,4,7,6,0,5,7,1,22
1362,Asahi Honnama Aqua Blue,Happoshu,79,5.0,2.09,7,7,2,2,2,6,0,3,4,2,11
1363,Orion Mugi Shokunin,Happoshu,79,5.5,3.18,3,7,1,9,8,1,0,1,10,0,10
1364,Okhotsk Blue Draft,Happoshu,79,5.0,3.08,0,6,0,4,28,1,0,21,7,0,9
1365,Sapporo Draft One,Happoshu,79,5.0,1.95,4,10,7,6,17,13,0,9,9,1,15
1366,Kinshachi Nagoya Red Miso Lager,Happoshu,79,6.0,3.55,3,17,7,8,25,5,1,5,9,1,35
1367,Orion Southern Star,Happoshu,79,5.5,2.82,0,4,2,3,3,3,0,4,4,1,3
1368,Kirin Enjuku,Happoshu,79,6.0,3.11,8,14,1,8,9,4,0,2,12,0,18
1369,Helios Goya Dry,Happoshu,79,5.0,3.5,6,7,3,13,8,6,0,6,14,5,7
1370,Asahi Honnama Gold,Happoshu,79,5.5,3.13,0,2,1,4,3,0,0,1,4,0,4
1371,Kirin Nodogoshi,Happoshu,79,5.0,2.76,0,2,1,1,3,0,0,0,2,0,5
1372,Tanba No Kuromame,Happoshu,79,5.0,3.93,0,1,0,2,0,0,0,0,2,1,0
1373,Orion Special X,Happoshu,79,6.0,3.08,3,2,2,1,3,0,0,0,1,0,5
1374,Sapporo Mugi To Hop: The Gold,Happoshu,79,5.0,2.83,0,0,0,0,0,0,0,0,0,0,0
1375,Kirin Shirokirin,Happoshu,79,5.5,3.04,1,3,0,1,0,0,0,0,1,0,2
1376,Jokki (Jug Nama),Happoshu,79,5.0,2.37,3,6,2,2,10,3,1,1,2,0,4
1377,Asahi Style Free,Happoshu,79,4.0,2.11,0,0,0,0,0,0,0,0,0,0,0
1378,Asahi Shinnama,Happoshu,79,5.0,2.48,3,4,2,4,1,1,0,1,4,0,6
1379,Kirin Enjuku Kuro,Happoshu,79,6.0,3.14,2,7,1,2,9,0,0,0,2,0,21
1380,Kirin Nodogoshi Nama,Happoshu,79,5.0,2.95,1,2,0,2,2,0,0,0,4,0,1
1381,FiLite,Happoshu,79,4.5,1.64,0,0,0,0,0,0,0,0,0,0,0
1382,Cherry & Berry Ale,Happoshu,79,5.0,4.16,0,0,0,6,6,2,0,8,6,0,2
1383,Honkaku Karakuchi Mugi,Happoshu,79,5.0,3.19,11,9,2,5,3,2,0,2,4,0,8
1384,Pear Lager,Happoshu,79,5.0,3.7,4,5,3,3,4,5,0,14,3,0,3
1385,Peach White Ale,Happoshu,79,5.0,4.03,0,7,2,6,22,4,0,23,9,0,5
1386,Sapporo Hokkaido Premium,Happoshu,79,5.0,2.48,0,0,0,0,0,0,0,0,0,0,0
1387,Melon Ale,Happoshu,79,5.0,4.08,1,3,0,6,26,8,0,28,6,0,3
1388,Shokunin Koji Ale,Happoshu,79,5.4,3.81,5,2,2,5,2,13,0,15,5,0,15
1389,Lemon Lager,Happoshu,79,5.0,3.79,11,3,5,6,10,32,0,28,6,0,4
1390,Barreal,Happoshu,79,5.0,2.24,0,0,0,0,0,0,0,0,0,0,0
1391,Asahi Style Free (and Purine Free),Happoshu,79,6.0,2.44,0,1,0,0,3,0,0,2,0,0,1
1392,Honey Apple Ale,Happoshu,79,5.0,3.52,10,4,2,6,25,19,0,24,6,0,7
1393,Kirin Tanrei W Double,Happoshu,79,5.5,2.45,0,0,0,0,0,0,0,0,0,0,0
1394,Sapporo Mugi To Hopppu (trans. Barley And Hop),Happoshu,79,5.0,3.12,0,0,0,0,0,0,0,0,0,0,0
1395,Asahi Strong Off,Happoshu,79,7.0,2.76,0,0,0,0,0,0,0,0,0,0,0
1396,Asahi Craft Style British Ale Type,Happoshu,79,5.0,3.14,0,0,0,0,0,0,0,0,0,0,0
1397,Kirin Sumikiri,Happoshu,79,5.0,3.36,0,0,0,0,0,0,0,0,0,0,0
1398,Kinmugi Clear Label (金麦クリアラベル),Happoshu,79,5.0,3.45,1,2,0,4,3,0,0,0,6,0,5
1399,Kirin Tanrei Platinum Double,Happoshu,79,5.5,2.28,0,0,0,0,0,0,0,0,0,0,0
1400,Sapporo Mega Lager,Happoshu,79,6.0,3.04,0,0,0,0,0,0,0,0,0,0,0
1401,Orion Nangoku Monogatari,Happoshu,79,5.5,2.08,0,0,0,0,0,0,0,0,0,0,0
1402,Inari Biru,Happoshu,79,4.8,3.17,0,0,0,0,0,0,0,0,0,0,0
1403,Akiraku,Happoshu,79,6.0,3.51,0,0,0,0,0,0,0,0,0,0,0
1404,Aki No Zeitaku,Happoshu,79,6.0,3.13,0,0,0,0,0,0,0,0,0,0,0
1405,Yuzu Lager,Happoshu,79,5.0,3.92,0,0,0,6,2,6,0,6,6,0,2
1406,Midas Touch,Herb and Spice Beer,80,9.0,3.76,18,33,11,15,128,42,1,77,31,13,62
1407,2XMAS,Herb and Spice Beer,80,8.0,3.74,8,27,30,19,44,36,0,52,11,141,35
1408,Chateau Jiahu,Herb and Spice Beer,80,10.0,3.79,16,24,33,12,145,68,0,96,23,8,64
1409,Good Juju,Herb and Spice Beer,80,4.5,3.44,6,18,4,16,23,15,2,15,19,81,43
1410,Juniper Pale Ale,Herb and Spice Beer,80,5.3,3.62,10,30,11,53,44,37,4,58,80,13,55
1411,Agave Wheat,Herb and Spice Beer,80,4.2,3.43,37,23,27,4,33,29,2,25,16,5,56
1412,Birra Etrusca,Herb and Spice Beer,80,8.5,3.74,16,22,25,17,113,53,1,85,53,24,55
1413,Rosée D'Hibiscus,Herb and Spice Beer,80,5.9,3.87,19,39,8,7,61,57,0,46,114,23,44
1414,Dead Rise Old Bay Summer Ale,Herb and Spice Beer,80,5.6,3.64,29,32,12,36,24,52,10,59,61,93,67
1415,Ta Henket,Herb and Spice Beer,80,4.5,3.45,7,25,15,10,80,56,2,46,55,26,60
1416,Blue Moon Cinnamon Horchata AleCoors Brewing Company (Molson-Coors),Herb and Spice Beer,80,5.5,3.58,5,36,10,4,43,15,7,18,12,76,62
1417,Rosa Hibiscus Ale,Herb and Spice Beer,80,5.8,3.53,12,21,7,23,60,51,3,55,94,8,37
1418,Poor Richard's Tavern Spruce Ale,Herb and Spice Beer,80,5.0,3.62,7,24,11,24,37,3,1,16,86,12,62
1419,Hitachino Nest Real Ginger Ale,Herb and Spice Beer,80,8.0,3.66,14,23,25,22,56,11,1,15,28,105,61
1420,Jaw-Jacker,Herb and Spice Beer,80,6.5,3.32,8,42,8,11,22,25,0,85,16,123,53
1421,Hard Root Beer,Herb and Spice Beer,80,5.8,3.67,2,25,29,6,40,1,1,3,6,26,19
1422,Leisure Time,Herb and Spice Beer,80,4.8,3.76,34,44,5,15,39,73,2,81,47,37,68
1423,Blue Moon Caramel Apple Spiced AleCoors Brewing Company (Molson-Coors),Herb and Spice Beer,80,5.8,3.08,11,29,12,6,122,63,0,81,9,62,86
1424,Mandarin Nectar,Herb and Spice Beer,80,6.5,3.46,14,38,6,38,100,97,0,112,77,17,80
1425,El Mole Ocho,Herb and Spice Beer,80,10.0,3.56,11,106,43,56,132,34,0,47,29,100,128
1426,Applehead,Herb and Spice Beer,80,4.5,3.15,26,22,6,4,114,105,0,109,7,52,47
1427,Blue Moon Gingerbread Spiced AleCoors Brewing Company (Molson-Coors),Herb and Spice Beer,80,5.9,3.31,5,28,10,33,39,6,0,8,26,91,90
1428,Baladin Nora,Herb and Spice Beer,80,6.8,4.03,18,32,21,26,54,57,0,63,48,60,56
1429,Bison Organic Gingerbread Ale,Herb and Spice Beer,80,6.0,3.43,8,31,6,19,13,9,0,12,12,68,68
1430,Mexican Chocolate Stout,Herb and Spice Beer,80,7.0,3.94,5,103,25,24,66,8,0,7,10,152,77
1431,Cinnamon Roll Imperial Ale,Herb and Spice Beer,80,8.6,4.04,5,38,14,16,61,13,0,16,13,85,56
1432,UFO Gingerland,Herb and Spice Beer,80,5.2,3.27,17,31,14,5,39,30,0,25,16,125,85
1433,Hard Root Beer,Herb and Spice Beer,80,5.0,3.37,3,18,25,4,22,6,0,1,5,20,15
1434,Summer Swelter Ale,Herb and Spice Beer,80,4.7,3.51,22,48,9,54,11,106,0,101,71,8,45
1435,Mexas Ranger,Herb and Spice Beer,80,6.6,3.89,23,133,17,100,55,22,0,13,68,127,136
1436,Mount Desert Island Ginger,Herb and Spice Beer,80,5.2,3.4,24,30,17,24,43,36,0,35,29,122,62
1437,GingerBreadHead,Herb and Spice Beer,80,4.6,3.33,12,42,12,39,55,5,0,7,36,80,141
1438,Bison Organic Honey Basil,Herb and Spice Beer,80,6.0,3.53,21,28,4,17,67,17,0,20,109,18,59
1439,Lemongrass Luau,Herb and Spice Beer,80,5.0,3.54,22,22,13,14,24,56,3,59,42,60,32
1440,Dos Equis Azul,Herb and Spice Beer,80,5.7,3.18,36,15,42,8,61,24,0,34,19,27,24
1441,Rude Elf's Reserve,Herb and Spice Beer,80,10.5,3.73,7,44,46,8,65,27,0,49,12,157,30
1442,Underlig Jul,Herb and Spice Beer,80,6.5,3.92,14,51,24,44,60,21,0,32,81,178,92
1443,Noël Des Géants,Herb and Spice Beer,80,8.5,3.81,17,51,44,29,99,60,0,74,46,91,76
1444,"Lavender, Sunflower Honey and Date Honey Ale (LSD)",Herb and Spice Beer,80,7.2,3.67,8,38,5,16,137,36,0,70,123,8,72
1445,Best Damn Root Beer,Herb and Spice Beer,80,5.5,2.73,5,16,16,5,23,2,0,2,3,9,6
1446,Señorita,Herb and Spice Beer,80,8.2,3.97,4,115,14,28,64,5,0,1,19,90,79
1447,Lemon Tea Ale,Herb and Spice Beer,80,5.0,3.41,15,38,13,19,31,98,0,92,100,8,68
1448,Eille,Herb and Spice Beer,80,7.5,4.03,22,34,20,35,78,85,5,104,83,56,67
1449,Ginger Beard,Herb and Spice Beer,80,4.2,3.23,12,44,27,19,72,23,3,25,34,126,43
1450,Red/White Christmas,Herb and Spice Beer,80,8.0,3.87,10,31,27,57,55,91,1,85,100,42,60
1451,Brunch Money,Herb and Spice Beer,80,10.0,4.11,1,28,6,33,55,6,0,4,9,11,64
1452,La MeuleBFM (Brasserie des Franches-Montagnes),Herb and Spice Beer,80,6.0,3.76,21,38,5,19,39,92,0,62,82,46,27
1453,Samuel Adams Ginger BeerBoston Beer Company (Samuel Adams),Herb and Spice Beer,80,6.0,3.42,19,31,15,33,24,22,0,29,43,108,65
1454,Nor'Easter Lager,Herb and Spice Beer,80,6.0,3.38,10,40,17,18,76,44,0,47,27,63,84
1455,Welcome To Scoville Jalapeño IPA,Herb and Spice Beer,80,6.9,3.77,12,23,22,51,28,33,0,51,78,97,32
1456,Two Hearted Ale,IPA - American,32,7.0,4.3,7,18,9,56,28,35,0,35,83,2,36
1457,Sculpin,IPA - American,32,7.0,4.41,20,34,12,69,43,53,0,72,92,4,28
1458,60 Minute IPA,IPA - American,32,6.0,4.1,17,26,6,56,14,40,0,44,75,3,24
1459,Stone IPA,IPA - American,32,6.9,4.22,19,31,14,66,30,55,2,63,96,4,48
1460,Torpedo Extra IPA,IPA - American,32,7.2,4.17,10,44,11,57,31,37,0,43,107,6,38
1461,Celebration Fresh Hop IPA,IPA - American,32,6.8,4.17,19,38,15,66,28,24,0,25,92,5,47
1462,IPA,IPA - American,32,6.2,3.91,19,28,12,65,37,37,2,40,101,2,42
1463,A Little Sumpin' Sumpin' Ale,IPA - American,32,7.5,4.22,15,32,14,58,23,56,1,69,100,2,65
1464,Jai Alai IPA,IPA - American,32,7.5,4.29,21,34,8,44,35,58,0,73,51,10,33
1465,Centennial IPA,IPA - American,32,7.2,4.15,12,28,14,64,30,37,0,47,85,4,44
1466,Racer 5,IPA - American,32,7.5,4.2,13,44,22,80,52,36,1,56,110,7,65
1467,All Day IPA,IPA - American,32,4.7,3.89,16,16,2,38,16,24,1,30,54,1,25
1468,HopDevil,IPA - American,32,6.7,4.08,13,27,5,61,42,26,0,30,89,10,69
1469,Union Jack IPA,IPA - American,32,7.0,4.24,31,44,16,76,63,85,0,127,115,3,40
1470,Sculpin - Grapefruit,IPA - American,32,7.0,4.34,22,19,11,48,22,103,0,104,51,2,14
1471,Blind Pig,IPA - American,32,6.25,4.37,45,37,7,80,38,69,4,94,140,1,33
1472,Furious,IPA - American,32,6.7,4.3,11,24,5,57,45,48,0,54,96,3,61
1473,Lunch,IPA - American,32,7.0,4.39,26,54,15,64,56,79,0,97,102,5,49
1474,Fresh Squeezed IPA,IPA - American,32,6.4,4.26,16,41,4,62,46,54,1,67,85,3,41
1475,Flower Power India Pale Ale,IPA - American,32,7.2,4.24,17,26,14,44,38,38,1,61,75,0,35
1476,"Smuttynose IPA ""Finest Kind""",IPA - American,32,6.9,4.12,21,27,14,70,39,55,0,67,93,6,38
1477,ApriHop,IPA - American,32,7.0,3.87,20,21,16,70,106,62,1,107,80,6,45
1478,Harvest Ale,IPA - American,32,7.6,4.26,18,38,9,75,32,44,0,60,117,3,31
1479,Duet,IPA - American,32,7.0,4.34,31,21,7,60,31,56,1,77,91,6,27
1480,Head Hunter,IPA - American,32,7.5,4.34,25,36,16,71,46,63,0,97,110,6,40
1481,Samuel Adams Rebel IPABoston Beer Company (Samuel Adams),IPA - American,32,6.5,3.61,19,20,11,65,40,33,0,47,93,5,56
1482,Hop Nosh IPA,IPA - American,32,7.3,4.03,8,25,5,68,42,38,0,64,92,5,45
1483,Big Eye,IPA - American,32,7.0,4.07,26,37,9,68,42,53,2,68,103,4,43
1484,IPA,IPA - American,32,7.25,4.24,19,47,2,76,54,65,1,90,114,2,54
1485,Titan IPA,IPA - American,32,7.1,4.09,20,46,9,78,46,54,0,69,105,6,61
1486,Nelson,IPA - American,32,7.0,4.45,26,45,7,60,50,85,2,128,78,13,49
1487,Samuel Adams Latitude 48 IPABoston Beer Company (Samuel Adams),IPA - American,32,6.0,3.58,20,23,3,53,21,43,1,47,73,4,34
1488,Hop Wallop,IPA - American,32,7.5,4.12,25,30,9,79,33,42,4,47,124,4,47
1489,75 Minute IPA,IPA - American,32,7.5,4.13,8,54,11,48,88,35,4,39,70,3,77
1490,Northern Hemisphere Harvest Wet Hop IPA,IPA - American,32,6.7,4.17,13,34,3,68,45,36,1,41,115,5,61
1491,IPA,IPA - American,32,6.3,3.98,25,44,13,75,57,58,1,86,103,12,59
1492,Loose Cannon,IPA - American,32,7.25,4.02,20,33,12,75,44,59,1,75,102,8,40
1493,Hopsecutioner,IPA - American,32,7.3,3.83,17,21,20,78,24,23,2,29,84,2,34
1494,Go To IPA,IPA - American,32,4.8,3.97,24,32,13,73,24,55,1,74,89,3,22
1495,Anchor Liberty Ale,IPA - American,32,5.9,3.9,21,27,7,67,27,51,0,61,85,4,47
1496,Snake Dog,IPA - American,32,7.1,3.59,16,24,8,53,31,61,0,76,73,7,25
1497,Deviant Dale's IPA,IPA - American,32,8.0,4.05,12,48,10,71,44,48,0,55,110,14,75
1499,Brew Free Or Die IPA,IPA - American,32,7.0,3.87,11,32,9,40,25,32,0,44,59,0,30
1500,Long Hammer IPA,IPA - American,32,6.2,3.3,17,20,10,41,32,51,1,54,72,6,34
1502,Hop Hunter,IPA - American,32,6.2,4.06,15,41,4,60,26,51,0,62,84,6,27
1503,Crooked Tree IPA,IPA - American,32,6.5,3.99,19,39,8,77,48,62,0,80,116,2,74
1504,Anti-Hero IPA,IPA - American,32,6.7,4.11,14,30,9,46,38,37,0,61,88,8,32
1505,IPA,IPA - American,32,7.0,4.28,19,26,14,84,76,88,1,138,141,7,49
1506,Hop Ottin' IPA,IPA - American,32,7.0,4.01,30,29,12,69,48,69,0,75,99,2,61
1507,India Pale Ale (IPA),IPA - American,32,6.5,3.87,16,33,8,53,33,49,3,56,94,3,41
1508,Raging Bitch,IPA - Belgian,33,8.3,3.89,17,40,20,63,39,57,0,70,80,29,40
1509,A Little Sumpin' Wild,IPA - Belgian,33,8.8,4.13,16,33,17,53,41,69,0,62,71,9,26
1510,Houblon Chouffe Dobbelen IPA Tripel,IPA - Belgian,33,9.0,4.23,38,51,22,82,79,69,1,93,135,36,46
1511,Green Flash Le Freak,IPA - Belgian,33,9.2,4.05,32,33,23,75,65,76,2,83,101,24,50
1512,Accumulation,IPA - Belgian,33,6.2,3.74,17,36,13,49,29,70,0,88,68,13,46
1513,Chainbreaker White IPA,IPA - Belgian,33,5.5,3.69,12,27,11,47,21,61,0,75,66,22,22
1514,Citra Bitter Monk,IPA - Belgian,33,9.0,4.35,39,36,13,57,56,138,2,133,74,26,23
1515,De Ranke XX Bitter,IPA - Belgian,33,6.0,4.1,30,33,16,100,30,45,2,42,144,17,36
1516,Galaxy White IPA,IPA - Belgian,33,7.0,4.06,28,28,3,36,28,102,2,59,57,42,11
1517,Live A Rich Life,IPA - Belgian,33,9.5,4.25,8,25,19,49,26,46,0,56,55,14,31
1518,Hugh Malone,IPA - Belgian,33,6.8,3.97,34,29,24,88,53,75,1,85,131,26,53
1519,Urthel Hop-ItDe Leyerth Brouwerijen (Urthel),IPA - Belgian,33,9.5,3.95,14,39,29,73,64,55,0,71,85,18,34
1520,Poperings Hommel Bier,IPA - Belgian,33,7.5,4.05,12,32,10,64,50,41,4,42,81,16,43
1521,Otter Creek Fresh Slice,IPA - Belgian,33,5.5,3.68,15,20,10,32,13,70,0,72,52,26,21
1522,Bedlam,IPA - Belgian,33,7.4,4.16,17,32,12,89,54,84,0,107,91,31,33
1523,Grumpy MonkBoston Beer Company (Samuel Adams),IPA - Belgian,33,5.7,3.63,9,29,11,38,44,41,0,52,69,26,29
1524,Gouden Carolus Hopsinjoor,IPA - Belgian,33,8.0,4.07,11,34,20,53,50,39,0,57,78,22,25
1525,Dernière Volonté,IPA - Belgian,33,7.0,4.02,19,35,22,61,55,80,0,85,76,34,32
1526,The Audacity Of Hops,IPA - Belgian,33,8.0,4.07,24,47,13,68,45,81,1,82,99,22,38
1527,White Hatter,IPA - Belgian,33,5.5,3.61,24,34,9,49,36,90,4,102,76,38,68
1528,Saranac White IPA,IPA - Belgian,33,6.0,3.75,28,38,9,72,21,89,0,86,72,28,44
1529,Troubadour Magma,IPA - Belgian,33,9.0,3.95,34,49,35,76,86,74,1,85,100,12,58
1530,Why Can't IBU,IPA - Belgian,33,5.7,3.84,26,43,8,72,38,63,5,56,111,20,39
1531,Smuttynose Homunculus (Big Beer Series),IPA - Belgian,33,9.37,3.88,16,52,27,61,103,78,0,109,82,31,45
1532,Triomphe Belgian IPA,IPA - Belgian,33,6.5,3.82,7,11,9,55,24,41,0,41,73,6,17
1533,Foray Belgian Style IPA,IPA - Belgian,33,6.5,3.93,37,38,16,59,50,98,5,126,86,27,23
1534,Piraat Triple Hop Dry Hopped Ale,IPA - Belgian,33,10.5,3.96,23,43,27,70,97,51,0,57,87,18,53
1535,White IPA,IPA - Belgian,33,6.2,3.87,29,58,18,81,33,98,0,111,110,24,33
1536,Glaucus,IPA - Belgian,33,6.2,4.06,21,32,7,55,51,62,0,83,87,32,17
1537,Whiplash White IPA,IPA - Belgian,33,6.3,3.81,30,32,9,74,21,63,2,70,91,7,51
1538,Wasatch GhostRider White IPA,IPA - Belgian,33,6.0,3.69,24,32,15,51,22,50,0,64,108,8,33
1539,Hopus,IPA - Belgian,33,8.3,3.76,9,22,20,39,38,38,0,39,56,21,39
1540,Tropical Bitch,IPA - Belgian,33,8.0,3.83,13,29,13,34,79,69,0,151,34,14,16
1541,Tree Bucket Double IPA,IPA - Belgian,33,9.5,4.08,10,37,19,54,74,62,0,78,71,19,31
1542,HopAnomaly - Reserve Series Aged In French Oak Chardonnay Barrels,IPA - Belgian,33,10.6,4.13,28,56,23,65,74,107,3,130,79,22,31
1543,Simcoe Silly,IPA - Belgian,33,9.0,3.85,14,64,36,61,82,76,1,111,73,35,44
1544,Pan Galactic Gargle Blaster,IPA - Belgian,33,10.2,4.11,20,32,25,86,63,85,0,130,108,29,40
1545,White IPA,IPA - Belgian,33,6.0,3.76,30,46,14,76,30,61,0,77,115,56,36
1546,Hop Trapp,IPA - Belgian,33,6.4,3.67,20,39,13,85,28,51,0,44,123,15,35
1547,Brainless IPA,IPA - Belgian,33,6.3,3.86,11,31,12,62,44,69,0,79,83,14,26
1548,Butterfly Flashmob,IPA - Belgian,33,7.0,3.89,21,33,14,50,65,51,0,64,71,32,26
1549,Hoppy Daze IPA,IPA - Belgian,33,9.0,3.79,21,35,25,57,34,68,1,73,102,37,37
1550,Bourbon DIPA,IPA - Belgian,33,9.4,3.98,16,73,120,73,99,59,1,68,109,44,157
1551,Hop Wrangler,IPA - Belgian,33,6.25,3.67,30,43,15,105,56,61,2,69,121,14,58
1552,Delirium Argentum,IPA - Belgian,33,7.0,3.85,17,46,20,44,75,52,2,72,60,23,52
1553,HopAnomaly,IPA - Belgian,33,9.3,3.94,16,53,42,67,66,73,0,86,90,23,29
1554,Thai Style White IPA,IPA - Belgian,33,6.5,3.74,20,29,20,56,12,48,3,48,105,78,24
1555,Gaspar Ale,IPA - Belgian,33,8.0,3.69,18,40,21,71,66,84,1,95,87,25,44
1556,White Birch Hooksett Ale,IPA - Belgian,33,7.7,3.89,22,44,17,62,66,55,2,70,79,26,60
1557,Aldebaran,IPA - Belgian,33,10.25,3.96,29,76,77,89,145,77,0,111,132,58,100
1558,NightTime,IPA - Black / Cascadian Dark Ale,34,8.2,4.12,16,75,14,85,45,43,0,46,79,5,87
1559,Dark Penance,IPA - Black / Cascadian Dark Ale,34,8.9,4.06,16,61,15,119,47,39,0,45,122,8,90
1560,Back In Black,IPA - Black / Cascadian Dark Ale,34,6.8,3.72,14,50,7,95,23,19,0,20,92,11,91
1561,Dubhe,IPA - Black / Cascadian Dark Ale,34,9.3,4.14,5,61,19,109,58,16,0,21,101,13,114
1562,Yakima Glory,IPA - Black / Cascadian Dark Ale,34,8.7,3.99,10,54,17,103,52,43,0,61,103,10,85
1563,Snow Day Winter Ale,IPA - Black / Cascadian Dark Ale,34,6.2,3.7,11,51,16,82,48,20,0,19,91,6,78
1564,Hoppy Feet,IPA - Black / Cascadian Dark Ale,34,7.0,3.89,11,45,14,82,33,9,0,9,87,5,70
1565,Hop In The Dark Cascadian Dark Ale,IPA - Black / Cascadian Dark Ale,34,6.9,4.11,15,82,17,144,58,64,0,86,133,12,115
1566,Reserve Special Black Ale,IPA - Black / Cascadian Dark Ale,34,7.5,3.96,14,63,7,68,44,7,0,13,53,9,101
1567,Project PAM,IPA - Black / Cascadian Dark Ale,34,10.8,4.21,10,69,77,72,112,14,1,17,72,21,149
1568,Pitch Black IPA,IPA - Black / Cascadian Dark Ale,34,6.5,3.82,11,45,12,84,29,18,0,15,93,8,73
1569,Heavy Seas Black Cannon,IPA - Black / Cascadian Dark Ale,34,7.25,3.8,20,94,23,145,71,42,0,70,140,11,121
1570,Grainstorm Black Rye IPA,IPA - Black / Cascadian Dark Ale,34,7.7,4.07,17,61,11,101,59,43,0,68,85,27,159
1571,Hoppy Bunny A.B.A. (American Black Ale),IPA - Black / Cascadian Dark Ale,34,7.3,3.89,14,70,13,95,42,33,0,35,98,4,80
1572,Anger,IPA - Black / Cascadian Dark Ale,34,7.6,3.95,7,45,11,79,29,27,0,25,86,3,61
1573,Black Racer,IPA - Black / Cascadian Dark Ale,34,8.1,3.94,17,86,11,148,65,43,0,54,142,14,134
1574,Hop Strike Black IPA,IPA - Black / Cascadian Dark Ale,34,6.5,3.78,22,75,11,101,44,19,1,23,115,18,126
1575,Close Encounter,IPA - Black / Cascadian Dark Ale,34,6.0,3.95,17,64,9,88,27,19,0,22,86,10,90
1576,Death Hoppy Black Ale,IPA - Black / Cascadian Dark Ale,34,7.0,3.87,7,55,24,99,35,16,0,20,82,12,96
